	... reading file ...
	... done reading file ... 
output 0.264645 for 21714 nodes

	... starting backpropagation ...
n256 t: v, dr: 0.000000 vr: 1.000000
n257 t: *, dr: 0.000000 vr: 0.318900
n258 t: +, dr: 0.000000 vr: 0.318900
n259 t: n, dr: 0.000000 vr: 3.932464
n260 t: v, dr: 0.000000 vr: 0.000000
n261 t: *, dr: 0.000000 vr: 3.932464
n262 t: n, dr: 0.000000 vr: 0.254294
n263 t: v, dr: 0.000000 vr: 1.000000
n264 t: *, dr: 0.000000 vr: 0.254294
n265 t: +, dr: 0.000000 vr: 0.254294
n266 t: n, dr: 0.000000 vr: 3.975695
n267 t: v, dr: 0.000000 vr: 0.000000
n268 t: *, dr: 0.000000 vr: 3.975695
n269 t: n, dr: 0.000000 vr: 0.251528
n270 t: v, dr: 0.000000 vr: 1.000000
n271 t: *, dr: 0.000000 vr: 0.251528
n272 t: +, dr: 0.000000 vr: 0.251528
n273 t: n, dr: 0.000000 vr: 3.378889
n274 t: v, dr: 0.000000 vr: 0.000000
n275 t: *, dr: 0.000000 vr: 3.378889
n276 t: n, dr: 0.000000 vr: 0.295955
n277 t: v, dr: 0.000000 vr: 1.000000
n278 t: *, dr: 0.000000 vr: 0.295955
n279 t: +, dr: 0.000000 vr: 0.295955
n280 t: n, dr: 0.000000 vr: 2.536523
n281 t: v, dr: 0.000000 vr: 0.000000
n282 t: *, dr: 0.000000 vr: 2.536523
n283 t: n, dr: 0.000000 vr: 0.394241
n284 t: v, dr: 0.000000 vr: 1.000000
n285 t: *, dr: 0.000000 vr: 0.394241
n286 t: +, dr: 0.000000 vr: 0.394241
n287 t: n, dr: 0.000000 vr: 3.466623
n288 t: v, dr: 0.000000 vr: 0.000000
n289 t: *, dr: 0.000000 vr: 3.466623
n290 t: n, dr: 0.000000 vr: 0.288465
n291 t: v, dr: 0.000000 vr: 1.000000
n292 t: *, dr: 0.000000 vr: 0.288465
n293 t: +, dr: 0.000000 vr: 0.288465
n294 t: n, dr: 0.000000 vr: 2.570927
n295 t: v, dr: 0.000000 vr: 0.000000
n296 t: *, dr: 0.000000 vr: 2.570927
n297 t: n, dr: 0.000000 vr: 0.388965
n298 t: v, dr: 0.000000 vr: 1.000000
n299 t: *, dr: 0.000000 vr: 0.388965
n300 t: +, dr: 0.000000 vr: 0.388965
n301 t: n, dr: 0.000000 vr: 3.270635
n302 t: v, dr: 0.000000 vr: 0.000000
n303 t: *, dr: 0.000000 vr: 3.270635
n304 t: n, dr: 0.000000 vr: 0.305751
n305 t: v, dr: 0.000000 vr: 1.000000
n306 t: *, dr: 0.000000 vr: 0.305751
n307 t: +, dr: 0.000000 vr: 0.305751
n308 t: n, dr: 0.000000 vr: 2.943519
n309 t: v, dr: 0.000000 vr: 0.000000
n310 t: *, dr: 0.000000 vr: 2.943519
n311 t: n, dr: 0.000000 vr: 0.339729
n312 t: v, dr: 0.000000 vr: 1.000000
n313 t: *, dr: 0.000000 vr: 0.339729
n314 t: +, dr: 0.000000 vr: 0.339729
n315 t: n, dr: 0.000000 vr: 3.159207
n316 t: v, dr: 0.000000 vr: 0.000000
n317 t: *, dr: 0.000000 vr: 3.159207
n318 t: n, dr: 0.000000 vr: 0.316535
n319 t: v, dr: 0.000000 vr: 1.000000
n320 t: *, dr: 0.000000 vr: 0.316535
n321 t: +, dr: 0.000000 vr: 0.316535
n322 t: n, dr: 0.000000 vr: 2.570927
n323 t: v, dr: 0.000000 vr: 0.000000
n324 t: *, dr: 0.000000 vr: 2.570927
n325 t: n, dr: 0.000000 vr: 0.388965
n326 t: v, dr: 0.000000 vr: 1.000000
n327 t: *, dr: 0.000000 vr: 0.388965
n328 t: +, dr: 0.000000 vr: 0.388965
n329 t: n, dr: 0.000000 vr: 3.975695
n330 t: v, dr: 0.000000 vr: 0.000000
n331 t: *, dr: 0.000000 vr: 3.975695
n332 t: n, dr: 0.000000 vr: 0.251528
n333 t: v, dr: 0.000000 vr: 1.000000
n334 t: *, dr: 0.000000 vr: 0.251528
n335 t: +, dr: 0.000000 vr: 0.251528
n336 t: n, dr: 0.000000 vr: 3.790711
n337 t: v, dr: 0.000000 vr: 0.000000
n338 t: *, dr: 0.000000 vr: 3.790711
n339 t: n, dr: 0.000000 vr: 0.263803
n340 t: v, dr: 0.000000 vr: 1.000000
n341 t: *, dr: 0.000000 vr: 0.263803
n342 t: +, dr: 0.000000 vr: 0.263803
n343 t: n, dr: 0.000000 vr: 3.101471
n344 t: v, dr: 0.000000 vr: 0.000000
n345 t: *, dr: 0.000000 vr: 3.101471
n346 t: n, dr: 0.000000 vr: 0.322428
n347 t: v, dr: 0.000000 vr: 1.000000
n348 t: *, dr: 0.000000 vr: 0.322428
n349 t: +, dr: 0.000000 vr: 0.322428
n350 t: n, dr: 0.000000 vr: 2.592129
n351 t: v, dr: 0.000000 vr: 0.000000
n352 t: *, dr: 0.000000 vr: 2.592129
n353 t: n, dr: 0.000000 vr: 0.385783
n354 t: v, dr: 0.000000 vr: 1.000000
n355 t: *, dr: 0.000000 vr: 0.385783
n356 t: +, dr: 0.000000 vr: 0.385783
n357 t: n, dr: 0.000000 vr: 2.983584
n358 t: v, dr: 0.000000 vr: 0.000000
n359 t: *, dr: 0.000000 vr: 2.983584
n360 t: n, dr: 0.000000 vr: 0.335167
n361 t: v, dr: 0.000000 vr: 1.000000
n362 t: *, dr: 0.000000 vr: 0.335167
n363 t: +, dr: 0.000000 vr: 0.335167
n364 t: n, dr: 0.000000 vr: 3.869966
n365 t: v, dr: 0.000000 vr: 0.000000
n366 t: *, dr: 0.000000 vr: 3.869966
n367 t: n, dr: 0.000000 vr: 0.258400
n368 t: v, dr: 0.000000 vr: 1.000000
n369 t: *, dr: 0.000000 vr: 0.258400
n370 t: +, dr: 0.000000 vr: 0.258400
n371 t: n, dr: 0.000000 vr: 3.422005
n372 t: v, dr: 0.000000 vr: 0.000000
n373 t: *, dr: 0.000000 vr: 3.422005
n374 t: n, dr: 0.000000 vr: 0.292226
n375 t: v, dr: 0.000000 vr: 1.000000
n376 t: *, dr: 0.000000 vr: 0.292226
n377 t: +, dr: 0.000000 vr: 0.292226
n378 t: n, dr: 0.000000 vr: 3.697599
n379 t: v, dr: 0.000000 vr: 0.000000
n380 t: *, dr: 0.000000 vr: 3.697599
n381 t: n, dr: 0.000000 vr: 0.270446
n382 t: v, dr: 0.000000 vr: 1.000000
n383 t: *, dr: 0.000000 vr: 0.270446
n384 t: +, dr: 0.000000 vr: 0.270446
n385 t: n, dr: 0.000000 vr: 4.066214
n386 t: v, dr: 0.000000 vr: 0.000000
n387 t: *, dr: 0.000000 vr: 4.066214
n388 t: n, dr: 0.000000 vr: 0.245929
n389 t: v, dr: 0.000000 vr: 1.000000
n390 t: *, dr: 0.000000 vr: 0.245929
n391 t: +, dr: 0.000000 vr: 0.245929
n392 t: n, dr: 0.000000 vr: 3.057219
n393 t: v, dr: 0.000000 vr: 0.000000
n394 t: *, dr: 0.000000 vr: 3.057219
n395 t: n, dr: 0.000000 vr: 0.327095
n396 t: v, dr: 0.000000 vr: 1.000000
n397 t: *, dr: 0.000000 vr: 0.327095
n398 t: +, dr: 0.000000 vr: 0.327095
n399 t: n, dr: 0.000000 vr: 3.004151
n400 t: v, dr: 0.000000 vr: 0.000000
n401 t: *, dr: 0.000000 vr: 3.004151
n402 t: n, dr: 0.000000 vr: 0.332873
n403 t: v, dr: 0.000000 vr: 1.000000
n404 t: *, dr: 0.000000 vr: 0.332873
n405 t: +, dr: 0.000000 vr: 0.332873
n406 t: n, dr: 0.000000 vr: 3.734092
n407 t: v, dr: 0.000000 vr: 0.000000
n408 t: *, dr: 0.000000 vr: 3.734092
n409 t: n, dr: 0.000000 vr: 0.267803
n410 t: v, dr: 0.000000 vr: 1.000000
n411 t: *, dr: 0.000000 vr: 0.267803
n412 t: +, dr: 0.000000 vr: 0.267803
n413 t: n, dr: 0.000000 vr: 2.713006
n414 t: v, dr: 0.000000 vr: 0.000000
n415 t: *, dr: 0.000000 vr: 2.713006
n416 t: n, dr: 0.000000 vr: 0.368595
n417 t: v, dr: 0.000000 vr: 1.000000
n418 t: *, dr: 0.000000 vr: 0.368595
n419 t: +, dr: 0.000000 vr: 0.368595
n420 t: n, dr: 0.000000 vr: 2.831164
n421 t: v, dr: 0.000000 vr: 0.000000
n422 t: *, dr: 0.000000 vr: 2.831164
n423 t: n, dr: 0.000000 vr: 0.353212
n424 t: v, dr: 0.000000 vr: 1.000000
n425 t: *, dr: 0.000000 vr: 0.353212
n426 t: +, dr: 0.000000 vr: 0.353212
n427 t: n, dr: 0.000000 vr: 3.911326
n428 t: v, dr: 0.000000 vr: 0.000000
n429 t: *, dr: 0.000000 vr: 3.911326
n430 t: n, dr: 0.000000 vr: 0.255668
n431 t: v, dr: 0.000000 vr: 1.000000
n432 t: *, dr: 0.000000 vr: 0.255668
n433 t: +, dr: 0.000000 vr: 0.255668
n434 t: n, dr: 0.000000 vr: 3.014573
n435 t: v, dr: 0.000000 vr: 0.000000
n436 t: *, dr: 0.000000 vr: 3.014573
n437 t: n, dr: 0.000000 vr: 0.331722
n438 t: v, dr: 0.000000 vr: 1.000000
n439 t: *, dr: 0.000000 vr: 0.331722
n440 t: +, dr: 0.000000 vr: 0.331722
n441 t: n, dr: 0.000000 vr: 2.148704
n442 t: v, dr: 0.000000 vr: 0.000000
n443 t: *, dr: 0.000000 vr: 2.148704
n444 t: n, dr: 0.000000 vr: 0.465397
n445 t: v, dr: 0.000000 vr: 1.000000
n446 t: *, dr: 0.000000 vr: 0.465397
n447 t: +, dr: 0.000000 vr: 0.465397
n448 t: n, dr: 0.000000 vr: 3.890496
n449 t: v, dr: 0.000000 vr: 0.000000
n450 t: *, dr: 0.000000 vr: 3.890496
n451 t: n, dr: 0.000000 vr: 0.257037
n452 t: v, dr: 0.000000 vr: 1.000000
n453 t: *, dr: 0.000000 vr: 0.257037
n454 t: +, dr: 0.000000 vr: 0.257037
n455 t: n, dr: 0.000000 vr: 3.323593
n456 t: v, dr: 0.000000 vr: 0.000000
n457 t: *, dr: 0.000000 vr: 3.323593
n458 t: n, dr: 0.000000 vr: 0.300879
n459 t: v, dr: 0.000000 vr: 1.000000
n460 t: *, dr: 0.000000 vr: 0.300879
n461 t: +, dr: 0.000000 vr: 0.300879
n462 t: n, dr: 0.000000 vr: 3.497247
n463 t: v, dr: 0.000000 vr: 0.000000
n464 t: *, dr: 0.000000 vr: 3.497247
n465 t: n, dr: 0.000000 vr: 0.285939
n466 t: v, dr: 0.000000 vr: 1.000000
n467 t: *, dr: 0.000000 vr: 0.285939
n468 t: +, dr: 0.000000 vr: 0.285939
n469 t: n, dr: 0.000000 vr: 3.771580
n470 t: v, dr: 0.000000 vr: 0.000000
n471 t: *, dr: 0.000000 vr: 3.771580
n472 t: n, dr: 0.000000 vr: 0.265141
n473 t: v, dr: 0.000000 vr: 1.000000
n474 t: *, dr: 0.000000 vr: 0.265141
n475 t: +, dr: 0.000000 vr: 0.265141
n476 t: n, dr: 0.000000 vr: 3.771580
n477 t: v, dr: 0.000000 vr: 0.000000
n478 t: *, dr: 0.000000 vr: 3.771580
n479 t: n, dr: 0.000000 vr: 0.265141
n480 t: v, dr: 0.000000 vr: 1.000000
n481 t: *, dr: 0.000000 vr: 0.265141
n482 t: +, dr: 0.000000 vr: 0.265141
n483 t: n, dr: 0.000000 vr: 3.715724
n484 t: v, dr: 0.000000 vr: 0.000000
n485 t: *, dr: 0.000000 vr: 3.715724
n486 t: n, dr: 0.000000 vr: 0.269127
n487 t: v, dr: 0.000000 vr: 1.000000
n488 t: *, dr: 0.000000 vr: 0.269127
n489 t: +, dr: 0.000000 vr: 0.269127
n490 t: n, dr: 0.000000 vr: 3.451578
n491 t: v, dr: 0.000000 vr: 0.000000
n492 t: *, dr: 0.000000 vr: 3.451578
n493 t: n, dr: 0.000000 vr: 0.289723
n494 t: v, dr: 0.000000 vr: 1.000000
n495 t: *, dr: 0.000000 vr: 0.289723
n496 t: +, dr: 0.000000 vr: 0.289723
n497 t: n, dr: 0.000000 vr: 3.869966
n498 t: v, dr: 0.000000 vr: 0.000000
n499 t: *, dr: 0.000000 vr: 3.869966
n500 t: n, dr: 0.000000 vr: 0.258400
n501 t: v, dr: 0.000000 vr: 1.000000
n502 t: *, dr: 0.000000 vr: 0.258400
n503 t: +, dr: 0.000000 vr: 0.258400
n504 t: n, dr: 0.000000 vr: 3.577097
n505 t: v, dr: 0.000000 vr: 0.000000
n506 t: *, dr: 0.000000 vr: 3.577097
n507 t: n, dr: 0.000000 vr: 0.279556
n508 t: v, dr: 0.000000 vr: 1.000000
n509 t: *, dr: 0.000000 vr: 0.279556
n510 t: +, dr: 0.000000 vr: 0.279556
n511 t: n, dr: 0.000000 vr: 2.753756
n512 t: v, dr: 0.000000 vr: 0.000000
n513 t: *, dr: 0.000000 vr: 2.753756
n514 t: n, dr: 0.000000 vr: 0.363140
n515 t: v, dr: 0.000000 vr: 1.000000
n516 t: *, dr: 0.000000 vr: 0.363140
n517 t: +, dr: 0.000000 vr: 0.363140
n518 t: n, dr: 0.000000 vr: 2.005117
n519 t: v, dr: 0.000000 vr: 0.000000
n520 t: *, dr: 0.000000 vr: 2.005117
n521 t: n, dr: 0.000000 vr: 0.498724
n522 t: v, dr: 0.000000 vr: 1.000000
n523 t: *, dr: 0.000000 vr: 0.498724
n524 t: +, dr: 0.000000 vr: 0.498724
n525 t: n, dr: 0.000000 vr: 1.694491
n526 t: v, dr: 0.000000 vr: 0.000000
n527 t: *, dr: 0.000000 vr: 1.694491
n528 t: n, dr: 0.000000 vr: 0.590148
n529 t: v, dr: 0.000000 vr: 1.000000
n530 t: *, dr: 0.000000 vr: 0.590148
n531 t: +, dr: 0.000000 vr: 0.590148
n532 t: n, dr: 0.000000 vr: 3.593663
n533 t: v, dr: 0.000000 vr: 0.000000
n534 t: *, dr: 0.000000 vr: 3.593663
n535 t: n, dr: 0.000000 vr: 0.278268
n536 t: v, dr: 0.000000 vr: 1.000000
n537 t: *, dr: 0.000000 vr: 0.278268
n538 t: +, dr: 0.000000 vr: 0.278268
n539 t: n, dr: 0.000000 vr: 3.079137
n540 t: v, dr: 0.000000 vr: 0.000000
n541 t: *, dr: 0.000000 vr: 3.079137
n542 t: n, dr: 0.000000 vr: 0.324766
n543 t: v, dr: 0.000000 vr: 1.000000
n544 t: *, dr: 0.000000 vr: 0.324766
n545 t: +, dr: 0.000000 vr: 0.324766
n546 t: n, dr: 0.000000 vr: 3.323593
n547 t: v, dr: 0.000000 vr: 0.000000
n548 t: *, dr: 0.000000 vr: 3.323593
n549 t: n, dr: 0.000000 vr: 0.300879
